Nome,Idade,Sexo,Estado_Civil,CEP,Escolaridade
Maria Eduarda Vasconcelos,34,Outro,Solteiro,50838006,Ensino Médio
Sr. Igor Souza,19,Outro,Casado,51017158,Superior Completo
Otávio Cunha,58,Outro,Casado,50550758,Ensino Fundamental
João Miguel Albuquerque,44,Outro,Casado,50735575,Pós-Graduação
Maysa Rezende,63,Feminino,Divorciado,50374690,Pós-Graduação
Manuela Ramos,89,Outro,Casado,51011372,Superior Incompleto
Rael Peixoto,60,Feminino,Viúvo,50374139,Ensino Médio
Théo Marques,89,Masculino,Solteiro,50747116,Pós-Graduação
Thales Novais,29,Outro,Casado,50236036,Superior Incompleto
Srta. Emilly Nascimento,74,Outro,Viúvo,50824354,Pós-Graduação
Rafaela Moreira,26,Feminino,Casado,50772245,Ensino Médio
Nicole Leão,59,Masculino,Casado,50613659,Ensino Médio
Gabriela Gonçalves,78,Masculino,Solteiro,50115958,Ensino Médio
Ravi Lopes,77,Masculino,Divorciado,50086127,Ensino Fundamental
Benicio Vargas,80,Feminino,Casado,50040068,Ensino Médio
Juliana Vargas,87,Outro,Viúvo,50069990,Ensino Médio
Aurora Rodrigues,28,Masculino,Divorciado,50175551,Superior Completo
Nathan Nogueira,82,Masculino,Casado,50968450,Superior Incompleto
Levi Albuquerque,61,Masculino,Casado,50851914,Pós-Graduação
Manuela Pereira,75,Outro,Viúvo,50587139,Ensino Fundamental
Cecília Montenegro,20,Masculino,Divorciado,50245954,Superior Incompleto
Breno Melo,88,Masculino,Casado,50983817,Pós-Graduação
Isabelly Sousa,46,Outro,Viúvo,50775539,Ensino Fundamental
Larissa Vieira,75,Masculino,Solteiro,50143655,Superior Incompleto
Noah Nunes,39,Masculino,Divorciado,50226455,Superior Completo
Luiz Henrique Campos,82,Masculino,Divorciado,50235708,Pós-Graduação
Eloah Ferreira,86,Feminino,Casado,50299700,Pós-Graduação
Antonella Albuquerque,46,Feminino,Casado,50310543,Superior Incompleto
Ravy Teixeira,82,Feminino,Divorciado,50169543,Ensino Médio
João Porto,86,Outro,Divorciado,50876507,Pós-Graduação
Sra. Maysa Lopes,62,Feminino,Solteiro,50503803,Superior Incompleto
Raquel Dias,86,Outro,Viúvo,50331660,Ensino Fundamental
Maria Flor Montenegro,82,Masculino,Divorciado,50594892,Superior Completo
Sr. João Felipe da Cruz,51,Feminino,Solteiro,50444619,Ensino Fundamental
Maria Flor Lima,66,Masculino,Casado,50707928,Superior Incompleto
Sra. Ana Clara Teixeira,54,Masculino,Casado,50364814,Superior Incompleto
Isabela Nunes,70,Feminino,Divorciado,50549306,Ensino Fundamental
Vinicius Sá,27,Feminino,Divorciado,50198084,Ensino Médio
Oliver Peixoto,70,Feminino,Solteiro,50186220,Pós-Graduação
Sr. Benício Novaes,32,Outro,Solteiro,50898748,Superior Completo
Bruno Marques,78,Outro,Viúvo,51005985,Pós-Graduação
Miguel Oliveira,50,Outro,Solteiro,50230018,Superior Completo
Ágatha Ribeiro,50,Outro,Casado,50388622,Superior Completo
Ian Fonseca,47,Feminino,Solteiro,50431124,Superior Incompleto
Fernanda Pimenta,34,Feminino,Solteiro,50298406,Superior Completo
Sra. Ana Carolina da Mata,34,Masculino,Solteiro,50193289,Ensino Fundamental
José Miguel Almeida,60,Outro,Casado,50280318,Ensino Médio
Juan da Luz,59,Feminino,Divorciado,50506892,Superior Incompleto
Oliver Moreira,65,Outro,Solteiro,50969587,Superior Completo
Gabriel Gonçalves,90,Masculino,Casado,50391021,Superior Completo
Joaquim Sales,27,Masculino,Solteiro,50522091,Pós-Graduação
Yuri Barbosa,77,Feminino,Solteiro,50623704,Superior Incompleto
Mateus Novaes,38,Masculino,Viúvo,50919916,Pós-Graduação
Eduardo Camargo,26,Outro,Divorciado,50055175,Ensino Médio
Anthony Pastor,40,Outro,Viúvo,50663877,Pós-Graduação
Brenda da Cruz,25,Outro,Casado,50951460,Superior Incompleto
Leonardo Melo,29,Outro,Divorciado,50312180,Superior Incompleto
Maria Laura Silva,90,Feminino,Solteiro,50460123,Ensino Fundamental
Maria Isis Sales,45,Feminino,Solteiro,50336272,Superior Incompleto
Theo Fonseca,72,Masculino,Casado,50923153,Superior Incompleto
Marcela Moura,40,Masculino,Divorciado,50824443,Superior Incompleto
Laura Silveira,51,Feminino,Divorciado,50931514,Superior Completo
Thiago da Paz,83,Masculino,Solteiro,50337421,Superior Completo
Lunna Albuquerque,25,Outro,Viúvo,50237782,Superior Completo
Sophia da Luz,64,Masculino,Viúvo,50025080,Superior Completo
Clarice Mendonça,23,Feminino,Casado,50139348,Superior Incompleto
Maria Clara Silveira,52,Masculino,Casado,50291075,Superior Completo
Raquel Almeida,32,Masculino,Divorciado,50146380,Superior Incompleto
Liz Duarte,47,Outro,Viúvo,50690413,Ensino Fundamental
Dra. Eloá Campos,62,Masculino,Solteiro,50380522,Ensino Fundamental
Emanuella Peixoto,18,Outro,Solteiro,50349403,Pós-Graduação
Sr. Caleb da Mata,68,Masculino,Solteiro,50699572,Pós-Graduação
Liam Moraes,70,Masculino,Viúvo,50135125,Superior Completo
Mathias Oliveira,81,Outro,Casado,50401908,Pós-Graduação
Ana Julia Fonseca,51,Feminino,Divorciado,50670901,Pós-Graduação
Maria Martins,39,Masculino,Divorciado,50772764,Ensino Fundamental
Igor Costa,23,Feminino,Divorciado,50942217,Ensino Fundamental
Fernanda Martins,50,Masculino,Casado,50569991,Superior Completo
Leonardo Sales,65,Masculino,Viúvo,50912391,Pós-Graduação
Vitor Gabriel Mendonça,40,Outro,Casado,50767225,Ensino Fundamental
Srta. Maria Eduarda Barbosa,58,Masculino,Viúvo,50358767,Ensino Médio
Júlia Pacheco,59,Masculino,Solteiro,50194055,Superior Completo
Kamilly Pastor,68,Outro,Viúvo,50844175,Pós-Graduação
Enrico da Cruz,78,Masculino,Viúvo,50333459,Ensino Fundamental
João Gabriel da Conceição,76,Feminino,Casado,50747024,Ensino Médio
Lorenzo Alves,71,Outro,Divorciado,50251394,Ensino Médio
Theodoro da Cunha,52,Feminino,Viúvo,50602929,Superior Completo
Ana Júlia Câmara,87,Masculino,Solteiro,50283243,Superior Completo
Oliver da Rosa,36,Outro,Solteiro,50329593,Superior Completo
Fernanda Cavalcante,22,Outro,Casado,50171539,Ensino Médio
João Pedro da Mata,33,Feminino,Solteiro,50453476,Pós-Graduação
Augusto Aragão,72,Outro,Casado,51007424,Superior Incompleto
Sr. Davi Lucas da Mota,37,Feminino,Viúvo,50523416,Ensino Fundamental
Laura Farias,25,Masculino,Casado,50720634,Ensino Médio
Benicio Rocha,42,Feminino,Viúvo,50093811,Superior Incompleto
Bruna Rodrigues,71,Outro,Solteiro,50611606,Superior Completo
Sr. Luiz Felipe Silveira,35,Feminino,Viúvo,50399538,Superior Completo
Thomas Machado,72,Masculino,Solteiro,50381931,Superior Completo
Maria Liz Porto,41,Feminino,Solteiro,50427812,Superior Incompleto
Sr. Davi Luiz Duarte,79,Outro,Viúvo,50131614,Pós-Graduação
Sr. Bernardo Viana,33,Outro,Casado,50452462,Ensino Fundamental
Ana Liz Teixeira,19,Masculino,Casado,50796746,Ensino Fundamental
Yago Silveira,71,Feminino,Viúvo,50198890,Pós-Graduação
Ayla Fernandes,48,Outro,Viúvo,51030995,Superior Completo
Matteo Silveira,24,Outro,Viúvo,50903820,Superior Incompleto
Henry Câmara,41,Feminino,Solteiro,50146891,Superior Completo
Lara Melo,90,Masculino,Casado,50196847,Ensino Fundamental
Calebe Vieira,85,Feminino,Casado,50605310,Superior Completo
Luana Vieira,43,Outro,Viúvo,50899547,Ensino Fundamental
Sophie Garcia,65,Outro,Divorciado,50607520,Pós-Graduação
Eloá Sousa,62,Masculino,Viúvo,50611250,Pós-Graduação
Maria Leão,35,Masculino,Solteiro,50456954,Pós-Graduação
Mathias Rezende,54,Feminino,Viúvo,51098012,Superior Incompleto
Emanuella da Mota,23,Feminino,Divorciado,50907447,Superior Completo
Carolina Alves,52,Outro,Viúvo,50780534,Ensino Médio
Luiz Miguel Melo,41,Feminino,Solteiro,51042547,Superior Incompleto
Dr. Lucas Gabriel Barros,43,Outro,Viúvo,50892685,Superior Completo
Nathan da Rocha,73,Outro,Divorciado,50840778,Superior Completo
Thomas Cavalcante,60,Masculino,Viúvo,50758955,Pós-Graduação
Srta. Júlia Freitas,30,Feminino,Casado,50924936,Superior Incompleto
Ana Cecília Rezende,39,Feminino,Viúvo,50031055,Superior Incompleto
Paulo Viana,72,Outro,Divorciado,50498104,Ensino Fundamental
Asafe Rocha,35,Outro,Viúvo,50998642,Superior Incompleto
Dra. Juliana Santos,65,Feminino,Solteiro,50101298,Ensino Fundamental
Isaque Ribeiro,65,Outro,Solteiro,50476352,Pós-Graduação
Marcos Vinicius Cardoso,29,Masculino,Solteiro,50522789,Superior Incompleto
Ísis Melo,35,Outro,Casado,50440378,Ensino Médio
Dr. Levi Barbosa,27,Masculino,Solteiro,50758130,Pós-Graduação
Maria Sophia Dias,23,Outro,Viúvo,50889196,Superior Completo
Lara Fernandes,50,Masculino,Viúvo,50062710,Superior Incompleto
Cauã da Cruz,63,Feminino,Casado,51010120,Pós-Graduação
João Guilherme Guerra,20,Masculino,Casado,50352117,Ensino Fundamental
Natália Souza,56,Masculino,Viúvo,51068816,Superior Incompleto
Guilherme Vargas,90,Masculino,Divorciado,50418763,Ensino Fundamental
Ana Luiza Nunes,31,Outro,Divorciado,50508570,Ensino Médio
Ana Laura Gomes,53,Outro,Viúvo,50173102,Superior Completo
Vitor Hugo Vargas,74,Feminino,Casado,50476580,Superior Completo
Léo Ferreira,88,Masculino,Solteiro,50546619,Superior Completo
Sr. Dom Aragão,86,Feminino,Casado,50354074,Ensino Fundamental
Srta. Olívia Mendes,90,Masculino,Casado,50596440,Ensino Médio
Henry Fonseca,72,Outro,Casado,50992892,Ensino Médio
Bento Silveira,50,Feminino,Casado,50791191,Superior Incompleto
Lorenzo Oliveira,81,Outro,Solteiro,50545023,Ensino Médio
Mariah Marques,28,Feminino,Casado,50063868,Superior Completo
Dante Melo,21,Masculino,Solteiro,51099778,Superior Completo
Liam Lima,34,Masculino,Solteiro,50809847,Superior Completo
Matheus Fogaça,34,Masculino,Casado,51053316,Superior Incompleto
Maria Alice Santos,80,Feminino,Casado,50916650,Ensino Médio
Luiz Miguel Camargo,66,Masculino,Viúvo,50392106,Ensino Médio
Cauã Cirino,63,Feminino,Solteiro,50000469,Superior Completo
Hellena Cirino,67,Feminino,Solteiro,50309440,Ensino Fundamental
Bruna Campos,30,Feminino,Casado,50128524,Ensino Médio
Manuella Guerra,18,Feminino,Viúvo,50689938,Superior Incompleto
Laura Teixeira,32,Outro,Viúvo,50778189,Superior Incompleto
José Miguel Carvalho,20,Feminino,Solteiro,50056068,Superior Incompleto
Dante Cardoso,58,Feminino,Solteiro,50836413,Superior Completo
Samuel Marques,18,Masculino,Viúvo,50484019,Pós-Graduação
Otávio Cavalcanti,73,Masculino,Casado,50634731,Pós-Graduação
Ágatha Araújo,70,Masculino,Divorciado,50020983,Ensino Médio
Mateus Gomes,73,Outro,Divorciado,50908542,Ensino Médio
Maria Fernanda Pereira,18,Feminino,Solteiro,50216330,Superior Completo
Gustavo Henrique Siqueira,22,Feminino,Divorciado,50386983,Superior Incompleto
Pedro Henrique Monteiro,27,Feminino,Casado,50357295,Superior Completo
Caio Pinto,21,Feminino,Solteiro,50772551,Superior Completo
Brenda Moraes,29,Masculino,Solteiro,50013345,Ensino Médio
Samuel Rodrigues,51,Masculino,Solteiro,50230260,Superior Incompleto
Maria Freitas,84,Outro,Viúvo,50757326,Superior Incompleto
Camila Viana,51,Masculino,Divorciado,50635749,Ensino Fundamental
Bryan Brito,34,Feminino,Viúvo,50176304,Superior Completo
Sra. Rebeca Ribeiro,86,Outro,Casado,50444243,Ensino Fundamental
Fernanda Farias,33,Masculino,Casado,50805142,Superior Completo
Luara Souza,76,Feminino,Solteiro,50784138,Ensino Médio
Sra. Stella Ramos,58,Feminino,Viúvo,50825558,Ensino Fundamental
João Miguel Teixeira,19,Masculino,Casado,50761494,Pós-Graduação
Caio Vasconcelos,57,Feminino,Solteiro,50656299,Ensino Fundamental
Vitor Gabriel Machado,18,Outro,Divorciado,51014134,Superior Incompleto
Vicente Machado,88,Outro,Viúvo,50045108,Ensino Fundamental
Sofia Macedo,65,Masculino,Divorciado,51096563,Ensino Fundamental
Maria Helena Fonseca,59,Masculino,Solteiro,50897122,Superior Incompleto
Raquel Machado,50,Feminino,Solteiro,50361006,Superior Incompleto
Davi Lucas Jesus,21,Masculino,Divorciado,50823537,Ensino Fundamental
Juan Monteiro,32,Outro,Solteiro,51095984,Ensino Fundamental
Maria Liz Santos,40,Feminino,Viúvo,50714495,Pós-Graduação
Luan Brito,35,Masculino,Viúvo,50533807,Ensino Fundamental
Sr. Marcelo Borges,43,Feminino,Viúvo,50037258,Ensino Médio
Levi Nogueira,18,Outro,Divorciado,50686504,Superior Completo
Laís Almeida,79,Outro,Solteiro,50947978,Superior Completo
Laura Carvalho,20,Feminino,Solteiro,50014355,Superior Completo
Carlos Eduardo Sá,65,Masculino,Solteiro,50059704,Superior Completo
Sra. Maysa Gonçalves,49,Feminino,Divorciado,50078620,Ensino Fundamental
Augusto da Cunha,83,Outro,Divorciado,50137633,Superior Incompleto
Sr. Calebe Cardoso,86,Feminino,Solteiro,50866461,Ensino Fundamental
Arthur Gabriel Teixeira,78,Outro,Casado,51093410,Superior Incompleto
Ravi Lucca Ferreira,77,Masculino,Casado,50151970,Ensino Fundamental
Beatriz Pinto,35,Feminino,Solteiro,50972318,Superior Incompleto
Brayan Sampaio,44,Masculino,Casado,50808431,Ensino Médio
Benício Siqueira,47,Outro,Casado,50154439,Superior Incompleto
Théo Rezende,56,Masculino,Solteiro,50286286,Ensino Médio
Léo Borges,65,Outro,Divorciado,50607814,Ensino Médio
Milena Duarte,25,Masculino,Viúvo,50091580,Ensino Médio
Maitê Cavalcante,88,Feminino,Viúvo,51034387,Ensino Fundamental
Vitor Gabriel Pereira,79,Masculino,Solteiro,50082831,Ensino Médio
Srta. Alice Vargas,85,Outro,Casado,50523558,Ensino Fundamental
Dra. Cecília Dias,74,Feminino,Viúvo,50094885,Superior Completo
Alana Melo,26,Feminino,Divorciado,51020290,Pós-Graduação
Samuel Barbosa,20,Masculino,Viúvo,50941456,Ensino Fundamental
Matteo Sampaio,36,Feminino,Viúvo,50136371,Superior Completo
